Name,Rating,Review,Date
Mister_Jey,6,"→ Le hit de l'été 2020.Fall Guys est un battle royale innovant, dans le sens où il ne s'agit pas d'un FPS, mais d'une sorte d'interville à la sauce JV. Ici le but sera d'être qualifié à chaque étape afin de gagner la finale et ainsi faire top 1. Pour cela on incarne un personnage customisable et rigolo, une sorte de guimauve sur patte. Cependant tout n'est pas rose car enchaînés les→ Le hit de l'été 2020.Fall Guys est un battle royale innovant, dans le sens où il ne s'agit pas d'un FPS, mais d'une sorte d'interville à la sauce JV. Ici le but sera d'être qualifié à chaque étape afin de gagner la finale et ainsi faire top 1. Pour cela on incarne un personnage customisable et rigolo, une sorte de guimauve sur patte. Cependant tout n'est pas rose car enchaînés les mini-jeux s'avèrent rébarbatifs, surtout en solo. En somme un jeu drôle et détente mais au gameplay relativement limité et qu'il vaut mieux faire entre amis. Sortie en août 2020 / Développé par Devolver Digital (Carrion).… Expand","Jan 12, 2021"
ChrisWhiteWolf,4,"Team modes ruin this game. Nearly every single mode in which you play by yourself is awesome and a ton of fun, and every single team mode without a single exception is absolute garbage. Unfun, unfair, frustrating garbage. Every. Single. One of them.

What that results in is a game in which half the time you're have a ton of fun and the other half you're having a miserable time. AddTeam modes ruin this game. Nearly every single mode in which you play by yourself is awesome and a ton of fun, and every single team mode without a single exception is absolute garbage. Unfun, unfair, frustrating garbage. Every. Single. One of them. What that results in is a game in which half the time you're have a ton of fun and the other half you're having a miserable time. Add that to the battle royale gameplay, which means you will frequently have excellent runs ruined by being placed in the losing team and being able to do **** all about it, and the overall experience takes a massive hit. If this game had an option to queue for a no team mode playlist, I could easily give it an 8 or 9 out of them, the only other significant problem being how repetitive the game is, but I don't feel like I'm being hyperbolic when I say the team modes ruin an otherwise awesome game.… Expand","Aug 23, 2020"
shakalstrike,10,"Jogo muito divertido, comprei e instalei sem muita expectativa, quando notei tinha jogado 5 horas a fio. Há muito tempo não me divertia tanto.","Aug 15, 2020"
ScaryLarry38,8,"I love this game. It's just good fun, and can get really competitive towards the final rounds. It has a decent amount of character customization, even though there aren't that many items yet. And the free battle pass system is a nice touch. The only reason I did not give this game a 10 is because in my 15 hours of playtime I have encountered 3 hackers. Thee is currently no way of reportingI love this game. It's just good fun, and can get really competitive towards the final rounds. It has a decent amount of character customization, even though there aren't that many items yet. And the free battle pass system is a nice touch. The only reason I did not give this game a 10 is because in my 15 hours of playtime I have encountered 3 hackers. Thee is currently no way of reporting these hackers. And it's unfortunate because once you see one, the game becomes unwinnable.… Expand","Sep  4, 2020"
Devo4ka,5,"The game would be good if there weren't so many bugs and flaws, here are some of them:1) Sometimes, when you are eliminated from the match, you lose the opportunity to enter the lobby, you have to restart the game.2) Quite often, compared to other games, the game just crashes in the middle of the round.
3) Also one day the game just wouldn't start until I restarted the computer.
4)The game would be good if there weren't so many bugs and flaws, here are some of them:1) Sometimes, when you are eliminated from the match, you lose the opportunity to enter the lobby, you have to restart the game.2) Quite often, compared to other games, the game just crashes in the middle of the round.3) Also one day the game just wouldn't start until I restarted the computer.4) The animation of raising the level, receiving awards after the round is not skipped, you have to constantly wait for its end, and there is also no way to start the next game without leaving the lobby. P.S. The level with water lilies was created by God as a punishment for human sins.… Expand","May 26, 2023"
Kelen,6,"[PL]6,5/10 - Niezła(po graniu 120h+)

Prosta w założeniach, przyjemna, imprezowa gra.
Dosyć zróżnicowane mapy, ale czasem zbyt powtarzalne.

Kosmetyczne mikotransakcje, ale bywa że przez skórkę gorzej widać, że dany gracz trzyma w dłoniach przedmiot, co może wpłynąć na wynik rozgrywki.

Przydałoby się jeszcze wiele rzeczy, które poprawiłyby satysfakcję z gry - choćby na ekranie[PL]6,5/10 - Niezła(po graniu 120h+) Prosta w założeniach, przyjemna, imprezowa gra.Dosyć zróżnicowane mapy, ale czasem zbyt powtarzalne. Kosmetyczne mikotransakcje, ale bywa że przez skórkę gorzej widać, że dany gracz trzyma w dłoniach przedmiot, co może wpłynąć na wynik rozgrywki. Przydałoby się jeszcze wiele rzeczy, które poprawiłyby satysfakcję z gry - choćby na ekranie eliminacji piramida z graczami w kolejności od najlepszego i ładna animacja odpadania od dołu, zaczynająca się szybko i zwalniająca pod koniec… Expand","Apr 25, 2023"
GamingLizard9,8,"This game is an interesting new take on the Battle Royale genre. Instead of shooting, you compete 8n a game show similar to Wipeout.Pros:
Fun gameplay
Good-looking graphics
Quirky and catchy soundtrack

Cons:
Gameplay can get repetitive
Server and hacker problems due to high demand
Microtransations in a paid game

Verdict:
I would buy this game. It's fun and likely to expand over time.This game is an interesting new take on the Battle Royale genre. Instead of shooting, you compete 8n a game show similar to Wipeout.Pros:Fun gameplayGood-looking graphicsQuirky and catchy soundtrackCons:Gameplay can get repetitiveServer and hacker problems due to high demandMicrotransations in a paid gameVerdict:I would buy this game. It's fun and likely to expand over time. It already has new content!… Expand","Aug 26, 2020"
EnigmaXtreme,7,"When we covered Fall Guys last week during it’s beta, we talked about how fun the game was with its crazy courses and bounce all over the place with your adorable jellybaby like characters. But expressed concern about its longevity from the variety of courses we played, however, we expected that what we were playing was just a mere taste and expected to see a bunch more in the fall game.When we covered Fall Guys last week during it’s beta, we talked about how fun the game was with its crazy courses and bounce all over the place with your adorable jellybaby like characters. But expressed concern about its longevity from the variety of courses we played, however, we expected that what we were playing was just a mere taste and expected to see a bunch more in the fall game. Sad to say that hasn’t exactly been the case. For anyone not aware, Fall Guys is a brand new attempt at Battle Royale, where you play as bizarre little creatures who have a terrible centre of gravity and “wooo” everytime they get knocked over. The game plays a lot like Takeshi’s Castle and Wipeout with many similar obstacle courses like running through doors and avoiding the fake ones, only with more crowding and flailing all over the place. That is the one thing you need to expect while playing Fall Guys, it is going to become an absolute squabble especially when squeezing into such tight places. You play through several rounds trying to avoid getting eliminated in the process and compete for the crown at the end. The game does like to mix it up at times with team-based challenges that usually involve pushing balls, grabbing eggs and chasing people wearing a tail. These can prove quite frustrating, but in that lighthearted funny way as you try desperately to get an egg from your opponent’s goal and just flop everywhere. But other times like the Rocket League knock off can just feel tiresome as you try and shove your ball into the goal. Longevity is going to be the real deal-breaker of this game, I actually found myself getting bored back while playing the beta and was ready to write off the full game when I started playing it today. That is until I won the crown in my first game and modes I didn’t get to play in the beta like Royal Fumble, which involves scrambling for the one tail, were actually quite fun to play. One thing that would be great to see is some variety to each of the levels because then you are just playing the same ones over and over again. The truth is, Fall Guys feels like that quick little game you boot up between other bigger games, its the little snack break in-between titles or the one you play with something else in the background. Much like Tetris 99, it’s best to play Fall Guys in small bursts throughout the day rather than a marathon session. However, the 20$ price tag may deter some players especially the ones who are used to seeing Battle Royale games like this as free to play. However, it seems the game is available for free for PS Plus members. The game does offer cosmetics like new costumes, colours and emotes which are paid for with the games two main currencies, Kudos and Crowns. Kudos is the currency you receive after any match you play (unless the servers disconnect half way through) or purchased with real money but Crowns can only be achieved by winning a game or reaching certain levels. With the lack of lootboxes, I have to praise the game for how it treats its unlockables. The game will offer rare items like an Alyx HL2 outfit for a limited time, but it can only be bought with crowns which are only earned in-game and sure you could buy Kudos with real money but you earn plenty playing as well, so why even bother? Fall Guys is just some real light-hearted fun, something you open up after a long tiresome day and maybe get a few laughs from, and during these times, that is really all you can ask for.… Expand","Aug 25, 2020"
xSnipeZ,8,"Fall Guys: Ultimate Knockout Really fun party game to play with friends, the only real problems are the lack of minigames and the hackers","Aug 22, 2020"
Chubac,8,On paper this game looks like an other battle royale but in reality it's much more than that. It's a very chaotic and fun experience. Sadly the hackers make this game feel kinda unfair.,"Sep  1, 2020"
BLurii,6,"The game is good, cool casual game proposal, however, it could be better, the game has countless cheaters and bugs, which the developers don't seem to care about, because they don't implement a good anti-cheat, nor making mechanics server-side, so it's ""un-hackable"". But at the very least i think they are trying to fix the game breaking bugs.","Oct 20, 2020"
hoanns,8,A great gameshow-like battle-royale mutliplayer game. It's quite chaotic fun and not so many cheaters anymore,"Sep 26, 2020"
angelox205,10,awa de owo de awa de ewe de awa de owo de ewe de awa xd xd ostia un repampano,"Aug 28, 2020"
Fen1ma,6,"на данный момент не советую покупать игру, ещё очень сырая.Минусы:- Отсутствие какого либо античита
- Нельзя изменить ник
- Курсор во время игры, который можно скрыть 2 раза нажав на esс только на 1 раунд!
- Мало контента
- Выходя в главное меню игра может зависнуть, ваш прогресс за игру не сохранится
- Спорные минусы: Нету поддержки 21:9, максимальное разрешение Full HD, нельзяна данный момент не советую покупать игру, ещё очень сырая.Минусы:- Отсутствие какого либо античита- Нельзя изменить ник- Курсор во время игры, который можно скрыть 2 раза нажав на esс только на 1 раунд!- Мало контента- Выходя в главное меню игра может зависнуть, ваш прогресс за игру не сохранится- Спорные минусы: Нету поддержки 21:9, максимальное разрешение Full HD, нельзя понизить яркость цветовПлюсы:+ Весело играть с друзьями+ Большой выбор кастомизации персонажа Итог:Стоит покупать, если уже купили друзья. В других случаях нет. Если вы купите сейчас, вы насытитесь игрой, когда в неё только начнут добавлять контент.… Expand","Aug 26, 2020"
Moxilla_VK,1,"ESTE JUEGO ES LA MAYOR MIERDA QUE HE VISTO EN TODA MI VIDA, La vergggggggggggggg","Dec 17, 2020"
Wolterhon,2,"The game is competitive and random at the same time, so you cannot really win just because you are good in Fall Guys, in some levels it's ALL about randomness and luck. For example Door Dash or Tip Toe. Your start position also matters, especially in See Saw, where if you start too far away you have great chances to fall in the first set of platforms and even lose the game right from theThe game is competitive and random at the same time, so you cannot really win just because you are good in Fall Guys, in some levels it's ALL about randomness and luck. For example Door Dash or Tip Toe. Your start position also matters, especially in See Saw, where if you start too far away you have great chances to fall in the first set of platforms and even lose the game right from the beginning without a way to recover. Also people with ping higher than 80 will struggle to win in modes that involve interacting with other players like Tail Tag and its variations (the team version of Tail Tag and the final one that I don't remember the name of it), in your POV it'll look like your opponents are able to steal your tail while being a reasonable distance away from you but still manage to get the tail while you have to come really close for the server to count the grab. tl;dr great concept but kinda poor gameplay experience in the end. I really hope that in a month or so I'll be able to raise my score for this game at least to nine if they fix all the stuff that I've described in this review. If you want a game that's fun and where you can randomly win by just playing and not tryharding then why are you still reading? Devs don't give a **** about this game because the hype has ended, none of the problems described in the review got fixed, in the end we've got a new season that broke a finale gamemode, it took the devs a whole week to 'hotfix' the mode and they've added 4 new ones two of which are boring as ****… Expand","Nov  5, 2020"
Greg2262,1,"CHEATERS ALL THE TIME !!! The game is fun but I put ""1"" because of the high amount of cheaters.  It's almost on every game now.  On some games I see 2 cheaters in the finals and it takes ages to end because they can both fly endlessly.    The studio is not doing much against it, they say ""don't report or post cheaters, don't post videos of them"". They have their reasons to say that, but myCHEATERS ALL THE TIME !!! The game is fun but I put ""1"" because of the high amount of cheaters.  It's almost on every game now.  On some games I see 2 cheaters in the finals and it takes ages to end because they can both fly endlessly.    The studio is not doing much against it, they say ""don't report or post cheaters, don't post videos of them"". They have their reasons to say that, but my view is that they say that to have less attention on cheaters and still sell the game. No!  Fix the issue. I mean, how hard is it to detect a player that flies or gets to the finish line in 10 seconds, and ban him immediately.  Seriously, I'm not playing until it's fixed. Sick of the lies.… Expand","Sep  5, 2020"
Hesser,9,Está divertido y es aún mas divertido con amigos y la verdad creo que hacía falta un juego de este estilo.,"Aug 20, 2020"
UltraGamer50,9,"Fall Guys is back with a Medieval Artstyle, While i do wish they had a way to play Season 1 in tthis near Perfect package, This is still worth $30.00!","Oct  9, 2020"
Crisener,8,"You gotta love it. The aesthetics are very colorful and charming, and the gameplay brings a lot of joy and fun. It's like going to a new theme park as a child, but then it turns out it's your chance at a Wipeout course that you always wanted to try to beat for yourself, then mixed with a highly addictive battle royal formula. Perfect in short bursts between work or a discord party evening.You gotta love it. The aesthetics are very colorful and charming, and the gameplay brings a lot of joy and fun. It's like going to a new theme park as a child, but then it turns out it's your chance at a Wipeout course that you always wanted to try to beat for yourself, then mixed with a highly addictive battle royal formula. Perfect in short bursts between work or a discord party evening. Mediatonic still hasn't said the last word, as they will still continue to develop the game, add new modes etc. without which this game would probably not go on for a long time, and they have built a great basis to do so, so let's hope they will made right choices as this game's got a lot of potential and a lot of paths it could follow. If it continues to ride the popularity wave correctly, then in a few months or years it's gonna probably deserve a higher score. PS. How they managed to pull off that style of their Twitter account I have no idea, but I absolutely love it. Their social media deserve 10/10 score.… Expand","Aug 25, 2020"
Trashboat007,8,"I really like this game. It's fun to play with other people, whether playing online with friends or taking turns with friends is also pretty fun. Only things that drag this game down right now is some times it gets stuck with the same beginning mini games if you play in a row for whatever reason which can get annoying. Servers are also unreliable sometimes where it just says you've beenI really like this game. It's fun to play with other people, whether playing online with friends or taking turns with friends is also pretty fun. Only things that drag this game down right now is some times it gets stuck with the same beginning mini games if you play in a row for whatever reason which can get annoying. Servers are also unreliable sometimes where it just says you've been disconnected and you can't play for a while. Soundtrack gets tiring after just a couple hours. And hackers really make this game ultimately frustrating in my opinion. But other than that. Anytime there isn't a hacker, the game is super fun. Especially $20 it's a pretty good deal for a fun multiplayer game. I just hope they'll release new mini games to change up stuff.… Expand","Aug 30, 2020"
CWLPodcast,8,"With the servers largely fixed and them finding their groove, I can see this game lasting for a good long while as the shiny new thing.  I can't say this is going to be a Fortnite or even a PUBG in terms of how long it will last.  Gamer tend to hate things when they go mainstream which makes about as much sense as shooting yourself in the foot because you hate macaroni. It's physicsWith the servers largely fixed and them finding their groove, I can see this game lasting for a good long while as the shiny new thing.  I can't say this is going to be a Fortnite or even a PUBG in terms of how long it will last.  Gamer tend to hate things when they go mainstream which makes about as much sense as shooting yourself in the foot because you hate macaroni. It's physics based silliness in the vein of MXC and Wipeout.  Honestly at this point, if you don't know what it is... Welcome to video games... because that's the only way you couldn't have heard of it by now.… Expand","Aug 22, 2020"
DeatH12HedroN,10,"Melhor battle Royale que existe! tem uma jogatina dinâmica, exige várias habilidades do jogador mesmo tendo pouquíssimos comandos. A temática do jogo é perfeito, tem um design indie simples mas perfeito, o porem da versão para PC fica a cargo dos hackers que entram na partida para atrapalhar sua jogatina","Sep  6, 2020"
N/A,80,"Fall Guys is addictively chaotic multiplayer mayhem, and the mid-season update delivers some great new features that add to its replayability.","Sep 24, 2020"
N/A,90,"With just a few small additions, such as private matches and cross-play, this would quite simply become one of, if not the best party games available on current platforms. It can’t be underestimated how difficult it is to create something quite so accessible and fun simultaneously.","Sep 24, 2020"
N/A,80,"Fall Guys is more like a hilarious comedy picture directed by Mediatonic Studios, and reminds us that video games are not just about winning over other players, and sometimes its about having fun with family and friends.","Sep  7, 2020"
